feature	r
Neurosynth_TFIDF__finger	0.1117048098032123
Neurosynth_TFIDF__adopted	0.1114739609363837
Neurosynth_TFIDF__examination	0.1113281093579203
Neurosynth_TFIDF__posterior parietal	0.1111508427189601
Neurosynth_TFIDF__tpj	0.1110147965246239
Neurosynth_TFIDF__junction tpj	0.1110147965246239
Neurosynth_TFIDF__determine	0.1108461919715304
Neurosynth_TFIDF__disruption	0.1107528524347226
Neurosynth_TFIDF__dimensions	0.1105821745509287
Neurosynth_TFIDF__tactile	0.1105070684007207
Neurosynth_TFIDF__overlap	0.1104979731408566
Neurosynth_TFIDF__stg	0.1103472897200471
Neurosynth_TFIDF__recording	0.1101459324718335
Neurosynth_TFIDF__overall	0.1101406558174084
Neurosynth_TFIDF__using voxel	0.1101091448982393
Neurosynth_TFIDF__signal	0.1100559725473981
Neurosynth_TFIDF__controlling	0.1099238843361395
Neurosynth_TFIDF__sequences	0.109731801777494
Neurosynth_TFIDF__ventral premotor	0.1096535240906841
Neurosynth_TFIDF__highlighted	0.1095820494009169
Neurosynth_TFIDF__manipulations	0.1090307590710115
Neurosynth_TFIDF__hemodynamic responses	0.1089867703605087
Neurosynth_TFIDF__46	0.1085341342864898
Neurosynth_TFIDF__44	0.1085136074125455
Neurosynth_TFIDF__methods functional	0.1083296824934567
Neurosynth_TFIDF__power	0.1081756871997301
Neurosynth_TFIDF__motor premotor	0.1081708512266654
Neurosynth_TFIDF__susceptibility	0.1077390481897181
Neurosynth_TFIDF__length	0.1076236535628274
Neurosynth_TFIDF__tones	0.1075838711996094
Neurosynth_TFIDF__middle inferior	0.106966129935016
Neurosynth_TFIDF__insula anterior	0.1063468274624085
Neurosynth_TFIDF__loop	0.1061252845562219
Neurosynth_TFIDF__instructed	0.1058430090644113
Neurosynth_TFIDF__ventral medial	0.1054851923080867
Neurosynth_TFIDF__ratings	0.1049380233534314
Neurosynth_TFIDF__naive	0.1046655112459227
Neurosynth_TFIDF__allocation	0.1044429565687979
Neurosynth_TFIDF__integration	0.1043897143522659
Neurosynth_TFIDF__responds	0.103976804617562
Neurosynth_TFIDF__33	0.1038893146571664
Neurosynth_TFIDF__period	0.103604513830619
Neurosynth_TFIDF__compare	0.1034840349133446
Neurosynth_TFIDF__maintain	0.103463848398981
Neurosynth_TFIDF__interference	0.1033084741585216
Neurosynth_TFIDF__best	0.1032669805941007
Neurosynth_TFIDF__callosum	0.1026470217607269
Neurosynth_TFIDF__corpus callosum	0.1026470217607269
Neurosynth_TFIDF__mnemonic	0.1025377106256152
Neurosynth_TFIDF__autonomic	0.1024178595999157
Neurosynth_TFIDF__help	0.1022835519656071
Neurosynth_TFIDF__pointing	0.1022622135674177
Neurosynth_TFIDF__rest	0.1021206126617657
Neurosynth_TFIDF__scanner	0.1018450479861478
Neurosynth_TFIDF__center	0.1017386162026287
Neurosynth_TFIDF__smokers	0.101252839283405
Neurosynth_TFIDF__receive	0.1009994612502327
Neurosynth_TFIDF__primary somatosensory	0.1008697726012824
Neurosynth_TFIDF__gyrus	0.1004806197214012
Neurosynth_TFIDF__rapid	0.1000027066120576
Neurosynth_TFIDF__performing	0.099924220092094
Neurosynth_TFIDF__accurate	0.0998623408078127
Neurosynth_TFIDF__novelty	0.09951847614494
Neurosynth_TFIDF__gradient	0.0994368792315909
Neurosynth_TFIDF__premotor	0.0992128127457914
Neurosynth_TFIDF__architecture	0.0989037704148476
Neurosynth_TFIDF__serial	0.0988135221537661
Neurosynth_TFIDF__published	0.0986843815835854
Neurosynth_TFIDF__attend	0.098429814226127
Neurosynth_TFIDF__12	0.098366351961663
Neurosynth_TFIDF__hc	0.0983273832671931
Neurosynth_TFIDF__controls hc	0.0983273832671931
Neurosynth_TFIDF__supramarginal gyrus	0.0983020648781862
Neurosynth_TFIDF__supplementary	0.09826189298999
Neurosynth_TFIDF__memory load	0.0980589537937808
Neurosynth_TFIDF__neurodegenerative	0.0974570145691164
Neurosynth_TFIDF__algorithm	0.0973187407587298
Neurosynth_TFIDF__heart rate	0.097189029378819
Neurosynth_TFIDF__abuse	0.097189029378819
Neurosynth_TFIDF__occipital lobe	0.097189029378819
Neurosynth_TFIDF__heart	0.097189029378819
Neurosynth_TFIDF__laboratory	0.097189029378819
Neurosynth_TFIDF__example	0.0970597121842219
Neurosynth_TFIDF__identify	0.096769800763278
Neurosynth_TFIDF__unclear	0.0964711036150702
Neurosynth_TFIDF__observation	0.0964149212505298
Neurosynth_TFIDF__temporoparietal junction	0.0964040402093036
Neurosynth_TFIDF__hemispheres	0.0961051594099036
Neurosynth_TFIDF__severe	0.0959796715472562
Neurosynth_TFIDF__organization	0.095935859635017
Neurosynth_TFIDF__thalamic	0.095915137185174
Neurosynth_TFIDF__interplay	0.0956561892793017
Neurosynth_TFIDF__widespread	0.0954677341627967
Neurosynth_TFIDF__rapidly	0.0953308586705568
Neurosynth_TFIDF__single	0.095094611367954
Neurosynth_TFIDF__eye field	0.0950277134871721
Neurosynth_TFIDF__intraparietal	0.0945920833669173
Neurosynth_TFIDF__schizophrenic	0.0942171956836517
Neurosynth_TFIDF__evoked	0.0936607083525312
Neurosynth_TFIDF__phenomenon	0.0935213555580726
Neurosynth_TFIDF__lobes	0.0933439554875802
Neurosynth_TFIDF__underlie	0.0932728198638084
Neurosynth_TFIDF__sensory motor	0.093178807977631
Neurosynth_TFIDF__multisensory	0.0930908732026333
Neurosynth_TFIDF__little	0.0929693273146663
Neurosynth_TFIDF__incorrect	0.0929427013563597
Neurosynth_TFIDF__visually	0.0927490398247072
Neurosynth_TFIDF__intraparietal sulcus	0.0925468400142237
Neurosynth_TFIDF__75	0.0925274716763772
Neurosynth_TFIDF__prefrontal cortices	0.0922360662193571
Neurosynth_TFIDF__control	0.0921845381618898
Neurosynth_TFIDF__mediating	0.0921244643453275
Neurosynth_TFIDF__proposed	0.0919801237620193
Neurosynth_TFIDF__word recognition	0.0917889333664442
Neurosynth_TFIDF__brodmann ba	0.0916525198450526
Neurosynth_TFIDF__clips	0.0915996780501678
Neurosynth_TFIDF__video clips	0.0915996780501678
Neurosynth_TFIDF__traditionally	0.0915711038112903
Neurosynth_TFIDF__perception	0.0915571120841147
Neurosynth_TFIDF__explain	0.0914280955893682
Neurosynth_TFIDF__premotor cortex	0.0912631714199915
Neurosynth_TFIDF__remembering	0.0910102161603156
Neurosynth_TFIDF__pathophysiological	0.0910102161603156
Neurosynth_TFIDF__distributed network	0.090935197065338
Neurosynth_TFIDF__hemodynamic	0.0908090248239955
Neurosynth_TFIDF__illusion	0.0907963848288199
Neurosynth_TFIDF__particularly	0.0907448326872321
Neurosynth_TFIDF__primary motor	0.090688877250399
Neurosynth_TFIDF__circuit	0.0901221380012614
Neurosynth_TFIDF__corpus	0.0899968451901108
Neurosynth_TFIDF__define	0.089980915087621
Neurosynth_TFIDF__variables	0.089979448065347
Neurosynth_TFIDF__errors	0.0898557617945322
Neurosynth_TFIDF__lack	0.0897635086856735
Neurosynth_TFIDF__primates	0.0892777276585513
Neurosynth_TFIDF__regard	0.0892528656857137
Neurosynth_TFIDF__posterior anterior	0.0891229070541415
Neurosynth_TFIDF__produced	0.0890934739643217
Neurosynth_TFIDF__away	0.0890129015464189
Neurosynth_TFIDF__role	0.0880526744446417
Neurosynth_TFIDF__synchronization	0.0876548791787286
Neurosynth_TFIDF__hypothesized	0.0875294782308125
Neurosynth_TFIDF__higher	0.0870437612444416
