feature	mean	std
Neurosynth_TFIDF__corpus callosum	0.11216933678313397	0.099021566165781
Neurosynth_TFIDF__callosum	0.11216933678313397	0.099021566165781
Neurosynth_TFIDF__resolve	0.11211208400058176	0.093300418177308
Neurosynth_TFIDF__cingulate cortices	0.11159648166115627	0.06587605513773415
Neurosynth_TFIDF__stg	0.11137790271140031	0.045588443485416685
Neurosynth_TFIDF__applied	0.11110021193950073	0.09268729933121768
Neurosynth_TFIDF__insula	0.11101837770898124	0.0849903041650748
Neurosynth_TFIDF__cortex insula	0.11081298993612307	0.09753795425760765
Neurosynth_TFIDF__detecting	0.11080807561750776	0.13322401845130016
Neurosynth_TFIDF__sexual	0.11055716631475179	0.06945877083443594
Neurosynth_TFIDF__trend	0.11054449240813566	0.1464101429568034
Neurosynth_TFIDF__phases	0.11035470650194096	0.06783934556232818
Neurosynth_TFIDF__autonomic	0.11033105750813525	0.1013644797277751
Neurosynth_TFIDF__temporoparietal junction	0.11018582837713481	0.0309425191203054
Neurosynth_TFIDF__incorrect	0.11017268681838138	0.06792193571667667
Neurosynth_TFIDF__broader	0.11011506280798125	0.05777822800786117
Neurosynth_TFIDF__precentral gyrus	0.11009393928246136	0.04778590137467062
Neurosynth_TFIDF__months	0.10990041931616826	0.006036282950691897
Neurosynth_TFIDF__greater extent	0.10961306379769375	0.07441554082095866
Neurosynth_TFIDF__word recognition	0.10930709445245917	0.0672448312616355
Neurosynth_TFIDF__intense	0.10908068675247462	0.13189892761427296
Neurosynth_TFIDF__subregions	0.10907596053064521	0.0870624536355742
Neurosynth_TFIDF__ratings	0.10873677307089208	0.14194275708846654
Neurosynth_TFIDF__skin	0.1086344351729977	0.11075052262136947
Neurosynth_TFIDF__priori	0.10863156417686717	0.08014595179105746
Neurosynth_TFIDF__mechanisms underlying	0.10835538967342553	0.09169005097602007
Neurosynth_TFIDF__middle inferior	0.10832296258805364	0.06230442369031119
Neurosynth_TFIDF__heschl	0.10831766974228246	0.06914607765290284
Neurosynth_TFIDF__frontoparietal network	0.10824745034524105	0.0
Neurosynth_TFIDF__sixteen	0.10807928040601093	0.09261290730219142
Neurosynth_TFIDF__healthy adults	0.10795687681611654	0.08210131729532205
Neurosynth_TFIDF__motor network	0.10737378211511711	0.08215001482055512
Neurosynth_TFIDF__manipulations	0.10724177165660759	0.07966517817646908
Neurosynth_TFIDF__disorder ocd	0.10664885899149554	0.0
Neurosynth_TFIDF__neutral pictures	0.10664885899149554	0.0
Neurosynth_TFIDF__ocd	0.10664885899149554	0.0
Neurosynth_TFIDF__slow	0.10662239588338598	0.11788379537428607
Neurosynth_TFIDF__31	0.10652404584680979	0.038926533034779026
Neurosynth_TFIDF__thalamus	0.106408013932679	0.08009235825935836
Neurosynth_TFIDF__described	0.10631754909357985	0.10189355481527501
Neurosynth_TFIDF__electrical	0.1062348865312071	0.07998926731416332
Neurosynth_TFIDF__faster	0.10617705353372044	0.0991648267509251
Neurosynth_TFIDF__controversial	0.10596697949850302	0.05562297769387187
Neurosynth_TFIDF__studying	0.1059421897036944	0.0
Neurosynth_TFIDF__corpus	0.10542891006097643	0.09315104799365136
Neurosynth_TFIDF__bold	0.10517326207517724	0.09328249086004567
Neurosynth_TFIDF__supramarginal gyrus	0.10507486185169189	0.06521961618191832
Neurosynth_TFIDF__incentive delay	0.10500149604972626	0.0
Neurosynth_TFIDF__monetary incentive	0.10500149604972626	0.0
Neurosynth_TFIDF__posterior anterior	0.10489613217432671	0.10243190724136829
Neurosynth_TFIDF__control processes	0.10456981755683042	0.06062572337132127
Neurosynth_TFIDF__circuit	0.10407535428966715	0.05487740373805376
Neurosynth_TFIDF__anterior superior	0.10405020261123953	0.08113801916082475
Neurosynth_TFIDF__negative feedback	0.10359685200445674	0.03708857628812455
Neurosynth_TFIDF__gyrus middle	0.1033731395590597	0.060945950192530775
Neurosynth_TFIDF__locus	0.1032222959069079	0.10879401141342937
Neurosynth_TFIDF__partially	0.10320207495727139	0.07934178316871318
Neurosynth_TFIDF__published	0.10266723427840181	0.09296740152613563
Neurosynth_TFIDF__coherent	0.10223505352660162	0.13612465921999267
Neurosynth_TFIDF__produce	0.10206532149528577	0.07134005063518462
Neurosynth_TFIDF__constitute	0.10183072849981789	0.08425215179802363
Neurosynth_TFIDF__traditionally	0.10177706645783309	0.060113388426397234
Neurosynth_TFIDF__white	0.10170470179913949	0.07357301105466099
Neurosynth_TFIDF__signal task	0.10164855604674226	0.0
Neurosynth_TFIDF__bold responses	0.10164855604674226	0.0
Neurosynth_TFIDF__symptom	0.10110990009747198	0.04131025460430237
Neurosynth_TFIDF__visual attention	0.1010618527682857	0.07330885700854316
Neurosynth_TFIDF__bold signal	0.10096161410148241	0.09288447086307856
Neurosynth_TFIDF__voxel morphometry	0.10096108853394438	0.038085386981416544
Neurosynth_TFIDF__enhancing	0.10093323741116689	0.0643033100837894
Neurosynth_TFIDF__taking	0.10083090202487806	0.0669406969744789
Neurosynth_TFIDF__focus	0.10081501583553569	0.07333970894181192
Neurosynth_TFIDF__convergence	0.10059990144225518	0.10630282281065227
Neurosynth_TFIDF__discriminative	0.10055326666796992	0.09784136297434709
Neurosynth_TFIDF__constant	0.10037889507054501	0.058041978770756585
Neurosynth_TFIDF__temporal lobes	0.10036823842979477	0.06725931920063526
